source_prefix,episode_id,num_segments,segment_indices,first_video_id,last_video_id,T_total,duration_sec,T,twist_p95,twist_max,twist_ratio_over_20,flex_p95,flex_max,flex_ratio_20_60,flex_ratio_over_60,flex_level,twist_flag
16_,1,3,0;1;2,16_seg000_act1,16_seg002_act2,135,4.5,135,56.51274490356445,81.90790557861328,0.34814814814814815,2.9611902236938477,3.179030179977417,0.0,0.0,Low,High
16_,2,3,3;4;5,16_seg003_act1,16_seg005_act2,111,3.7,111,81.90499877929688,89.84813690185547,0.4774774774774775,10.393423080444336,10.821599960327148,0.0,0.0,Low,High
16_,3,3,6;7;8,16_seg006_act1,16_seg008_act2,182,6.066666666666666,182,32.88339614868164,45.39705276489258,0.24725274725274726,99.11597442626953,100.40914916992188,0.07692307692307693,0.19230769230769232,High,High
16_,4,3,9;10;11,16_seg009_act1,16_seg011_act2,112,3.7333333333333334,112,63.210323333740234,75.85475158691406,0.35714285714285715,22.715852737426758,25.661516189575195,0.26785714285714285,0.0,Medium,High
16_,5,3,12;13;14,16_seg012_act1,16_seg014_act2,119,3.966666666666667,119,44.09868240356445,69.65882873535156,0.10084033613445378,12.55266284942627,13.53017807006836,0.0,0.0,Low,High
16_,6,3,15;16;17,16_seg015_act1,16_seg017_act2,106,3.533333333333333,106,40.46419906616211,89.27072143554688,0.20754716981132076,12.21080207824707,12.430858612060547,0.0,0.0,Low,High
16_,7,3,18;19;20,16_seg018_act1,16_seg020_act2,140,4.666666666666667,140,87.72321319580078,89.91010284423828,0.4857142857142857,95.9671630859375,96.99811553955078,0.07857142857142857,0.22142857142857142,High,High
16_,8,3,21;22;23,16_seg021_act1,16_seg023_act2,105,3.5,105,46.619712829589844,76.89704132080078,0.3238095238095238,28.974401473999023,31.60546875,0.18095238095238095,0.0,Medium,High
16_,9,3,24;25;26,16_seg024_act1,16_seg026_act2,142,4.733333333333333,142,44.2917594909668,84.9590835571289,0.21830985915492956,102.5263442993164,105.46247863769531,0.07746478873239436,0.14084507042253522,High,High
16_,10,3,27;28;29,16_seg027_act1,16_seg029_act2,137,4.566666666666666,137,40.48753356933594,56.098426818847656,0.29927007299270075,97.2100830078125,101.0844955444336,0.08029197080291971,0.15328467153284672,High,High
16_,11,3,30;31;32,16_seg030_act1,16_seg032_act2,150,5.0,150,44.581878662109375,87.55120086669922,0.28,99.246337890625,103.92935943603516,0.16,0.32666666666666666,High,High
16_,12,3,33;34;35,16_seg033_act1,16_seg035_act2,122,4.066666666666666,122,29.152265548706055,59.95784378051758,0.2459016393442623,98.33177947998047,100.86287689208984,0.32786885245901637,0.1885245901639344,High,High
16_,13,3,36;37;38,16_seg036_act1,16_seg038_act2,135,4.5,135,75.75535583496094,88.3427963256836,0.28888888888888886,33.1254768371582,40.165565490722656,0.15555555555555556,0.0,Medium,High
16_,14,3,39;40;41,16_seg039_act1,16_seg041_act2,109,3.6333333333333333,109,54.639190673828125,62.27897262573242,0.3577981651376147,32.76564025878906,37.117103576660156,0.1926605504587156,0.0,Medium,High
16_,15,3,42;43;44,16_seg042_act1,16_seg044_act2,121,4.033333333333333,121,29.584495544433594,87.3350601196289,0.3140495867768595,95.3349380493164,96.83503723144531,0.256198347107438,0.23140495867768596,High,High
16_,16,3,45;46;47,16_seg045_act1,16_seg047_act2,137,4.566666666666666,137,51.71100997924805,80.32575988769531,0.17518248175182483,32.3821907043457,39.949951171875,0.3722627737226277,0.0,Medium,High
